exact_age,Male_Death_probability,Male_Number_of_lives,Male_Life_expectancy,Female_Death_probability,Female_Number_of_lives,Female_Life_expectancy
55,0.007805,89452,25.52,0.004829,93728,28.85
56,0.008477,88754,24.72,0.005220,93275,27.99
57,0.009181,88001,23.93,0.005612,92788,27.13
58,0.009916,87193,23.15,0.006000,92267,26.28
59,0.010683,86329,22.37,0.006397,91714,25.44
60,0.011533,85407,21.61,0.006848,91127,24.60
61,0.012434,84422,20.85,0.007358,90503,23.76
62,0.013302,83372,20.11,0.007893,89837,22.94
63,0.014109,82263,19.37,0.008453,89128,22.12
64,0.014913,81102,18.65,0.009063,88375,21.30
65,0.015808,79893,17.92,0.009761,87574,20.49
66,0.016868,78630,17.20,0.010581,86719,19.69
67,0.018101,77303,16.49,0.011535,85801,18.89
68,0.019544,75904,15.78,0.012646,84811,18.11
69,0.021206,74421,15.09,0.013919,83739,17.33
70,0.023122,72843,14.40,0.015413,82573,16.57
71,0.025265,71158,13.73,0.017089,81301,15.82
72,0.027585,69360,13.07,0.018861,79911,15.09
73,0.030070,67447,12.43,0.020705,78404,14.37
74,0.032794,65419,11.80,0.022703,76781,13.66
75,0.035963,63274,11.18,0.025035,75038,12.97
76,0.039588,60998,10.58,0.027766,73159,12.29
77,0.043511,58583,10.00,0.030822,71128,11.62
78,0.047720,56034,9.43,0.034227,68936,10.98
79,0.052358,53360,8.88,0.038062,66576,10.35
80,0.057712,50567,8.34,0.042539,64042,9.74
81,0.063886,47648,7.82,0.047663,61318,9.15
82,0.070782,44604,7.32,0.053278,58395,8.58
83,0.078442,41447,6.84,0.059378,55284,8.04
84,0.086997,38196,6.38,0.066132,52001,7.51
85,0.096603,34873,5.94,0.073763,48562,7.01
86,0.107390,31504,5.52,0.082465,44980,6.53
87,0.119456,28121,5.12,0.092370,41271,6.07
88,0.132853,24762,4.75,0.103546,37459,5.64
89,0.147599,21472,4.40,0.115997,33580,5.23
90,0.163689,18303,4.08,0.129706,29685,4.85
91,0.181104,15307,3.78,0.144636,25835,4.50
92,0.199810,12535,3.50,0.160741,22098,4.18
93,0.219765,10030,3.25,0.177971,18546,3.88
94,0.240913,7826,3.03,0.196270,15245,3.61
95,0.261868,5941,2.83,0.214769,12253,3.37
96,0.282225,4385,2.66,0.233174,9622,3.16
97,0.301555,3147,2.51,0.251158,7378,2.96
98,0.319421,2198,2.37,0.268378,5525,2.79
99,0.335392,1496,2.25,0.284481,4042,2.63
100,0.352162,994,2.13,0.301550,2892,2.48
101,0.369770,644,2.02,0.319643,2020,2.33
102,0.388259,406,1.91,0.338821,1374,2.19
103,0.407672,248,1.81,0.359151,909,2.06
104,0.428055,147,1.71,0.380700,582,1.93
105,0.449458,84,1.61,0.403542,361,1.81
106,0.471931,46,1.52,0.427754,215,1.69
107,0.495527,24,1.43,0.453420,123,1.58
108,0.520304,12,1.35,0.480625,67,1.47
109,0.546319,6,1.27,0.509462,35,1.37
110,0.573635,3,1.19,0.540030,17,1.27
111,0.602317,1,1.11,0.572432,8,1.18
112,0.632432,0,1.04,0.606778,3,1.09
113,0.664054,0,0.97,0.643184,1,1.01
114,0.697257,0,0.91,0.681775,0,0.93
115,0.732119,0,0.84,0.722682,0,0.86
116,0.768725,0,0.78,0.766043,0,0.79
117,0.807162,0,0.73,0.807162,0,0.73
118,0.847520,0,0.67,0.847520,0,0.67
119,0.889896,0,0.62,0.889896,0,0.62
